survey_item,item_direction,correlated_with,spearman_rho,p_value,n,note
Appeared confident,positive,Singer Mean Song HR,0.5,0.391,5,panelist ratings averaged per singer
Appeared confident,positive,Activation Gap,0.5,0.391,5,panelist ratings averaged per singer
Showed signs of anxiety,negative,Singer Mean Song HR,-0.7,0.188,5,panelist ratings averaged per singer
Showed signs of anxiety,negative,Activation Gap,-0.7,0.188,5,panelist ratings averaged per singer
Felt authentic,positive,Singer Mean Song HR,-0.308,0.614,5,panelist ratings averaged per singer
Felt authentic,positive,Activation Gap,-0.308,0.614,5,panelist ratings averaged per singer
Emotionally connected,positive,Singer Mean Song HR,-0.264,0.668,5,panelist ratings averaged per singer
Emotionally connected,positive,Activation Gap,-0.264,0.668,5,panelist ratings averaged per singer
Emotionally disconnected,negative,Singer Mean Song HR,-0.103,0.87,5,panelist ratings averaged per singer
Emotionally disconnected,negative,Activation Gap,-0.103,0.87,5,panelist ratings averaged per singer
Appeared to enjoy performing,positive,Singer Mean Song HR,0.58,0.306,5,panelist ratings averaged per singer
Appeared to enjoy performing,positive,Activation Gap,0.58,0.306,5,panelist ratings averaged per singer
