survey_item,item_direction,correlated_with,spearman_rho,p_value,n,note
Appeared confident,positive,Singer Mean Song HR,0.501,0.057,15,3 panelists x 5 singers (not independent)
Appeared confident,positive,Activation Gap,0.501,0.057,15,3 panelists x 5 singers (not independent)
Appeared confident,positive,Panelist Own HR,-0.139,0.62,15,3 panelists x 5 singers (not independent)
Showed signs of anxiety,negative,Singer Mean Song HR,-0.401,0.138,15,3 panelists x 5 singers (not independent)
Showed signs of anxiety,negative,Activation Gap,-0.401,0.138,15,3 panelists x 5 singers (not independent)
Showed signs of anxiety,negative,Panelist Own HR,-0.116,0.682,15,3 panelists x 5 singers (not independent)
Felt authentic,positive,Singer Mean Song HR,-0.033,0.908,15,3 panelists x 5 singers (not independent)
Felt authentic,positive,Activation Gap,-0.033,0.908,15,3 panelists x 5 singers (not independent)
Felt authentic,positive,Panelist Own HR,-0.195,0.487,15,3 panelists x 5 singers (not independent)
Emotionally connected,positive,Singer Mean Song HR,-0.065,0.817,15,3 panelists x 5 singers (not independent)
Emotionally connected,positive,Activation Gap,-0.065,0.817,15,3 panelists x 5 singers (not independent)
Emotionally connected,positive,Panelist Own HR,-0.026,0.928,15,3 panelists x 5 singers (not independent)
Emotionally disconnected,negative,Singer Mean Song HR,-0.087,0.758,15,3 panelists x 5 singers (not independent)
Emotionally disconnected,negative,Activation Gap,-0.087,0.758,15,3 panelists x 5 singers (not independent)
Emotionally disconnected,negative,Panelist Own HR,0.123,0.661,15,3 panelists x 5 singers (not independent)
Appeared to enjoy performing,positive,Singer Mean Song HR,0.335,0.222,15,3 panelists x 5 singers (not independent)
Appeared to enjoy performing,positive,Activation Gap,0.335,0.222,15,3 panelists x 5 singers (not independent)
Appeared to enjoy performing,positive,Panelist Own HR,0.018,0.95,15,3 panelists x 5 singers (not independent)
