pair,singer,panelist,session,scope,r_smooth,p_value,n_samples,smooth_window,excluded,exclusion_reason
S1-F1,S1,F1,S1,full_session,0.2944,0.0,318,15,False,
S1-F2,S1,F2,S1,full_session,-0.23,0.0,318,15,False,
S1-F3,S1,F3,S1,full_session,0.4496,0.0,318,15,False,
S2-F1,S2,F1,S2,full_session,-0.6063,0.0,238,15,False,
S2-F2,S2,F2,S2,full_session,-0.505,0.0,238,15,False,
S2-F3,S2,F3,S2,full_session,0.1976,0.0022,238,15,False,
S3-F1,S3,F1,S3,full_session,-0.3866,0.0,276,15,False,
S3-F2,S3,F2,S3,full_session,-0.6709,0.0,273,15,False,
S3-F3,S3,F3,S3,full_session,0.1854,0.002,276,15,False,
S4-F1,S4,F1,S4,full_session,-0.2281,0.0,319,15,False,
S4-F2,S4,F2,S4,full_session,0.1093,0.052,317,15,False,
S4-F3,S4,F3,S4,full_session,0.0823,0.1427,319,15,False,
S5-F1,S5,F1,S5,full_session,0.286,0.0,340,15,False,
S5-F2,S5,F2,S5,full_session,0.5605,0.0,337,15,False,
S5-F3,S5,F3,S5,full_session,0.4868,0.0,340,15,False,
