singer,panelist,scope,real_r,surrogate_mean,surrogate_sd,z_score,prop_surr_exceed,n_surrogates
S1,F1,full_session,0.2944,-0.1408,0.2228,1.95,0.5,4
S1,F2,full_session,-0.23,-0.3651,0.6571,0.21,1.0,4
S1,F3,full_session,0.4496,0.1378,0.3619,0.86,0.0,4
S2,F1,full_session,-0.6063,-0.2922,0.4523,-0.69,0.25,4
S2,F2,full_session,-0.505,-0.1859,0.4849,-0.66,0.5,4
S2,F3,full_session,0.1976,0.0128,0.3038,0.61,0.5,4
S3,F1,full_session,-0.3866,-0.056,0.4011,-0.82,0.25,4
S3,F2,full_session,-0.6709,-0.2449,0.6744,-0.63,0.5,4
S3,F3,full_session,0.1854,0.2191,0.4663,-0.07,1.0,4
S4,F1,full_session,-0.2281,-0.4569,0.2878,0.79,0.75,4
S4,F2,full_session,0.1093,-0.2381,0.4898,0.71,1.0,4
S4,F3,full_session,0.0823,-0.1357,0.2746,0.79,0.75,4
S5,F1,full_session,0.286,0.1004,0.2751,0.67,0.5,4
S5,F2,full_session,0.5605,-0.3729,0.2684,3.48,0.25,4
S5,F3,full_session,0.4868,0.1554,0.3852,0.86,0.25,4
