pair,singer,panelist,session,scope,mean_coherence,n_samples,n_periods,period_range
S1-F1,S1,F1,S1,full_session,0.6016,318,27,6-58s
S1-F2,S1,F2,S1,full_session,0.5191,318,27,6-58s
S1-F3,S1,F3,S1,full_session,0.5213,318,27,6-58s
S2-F1,S2,F1,S2,full_session,0.4993,238,27,6-58s
S2-F2,S2,F2,S2,full_session,0.5738,238,27,6-58s
S2-F3,S2,F3,S2,full_session,0.5661,238,27,6-58s
S3-F1,S3,F1,S3,full_session,0.6147,276,27,6-58s
S3-F2,S3,F2,S3,full_session,0.6565,273,27,6-58s
S3-F3,S3,F3,S3,full_session,0.5081,276,27,6-58s
S4-F1,S4,F1,S4,full_session,0.5585,319,27,6-58s
S4-F2,S4,F2,S4,full_session,0.5594,317,27,6-58s
S4-F3,S4,F3,S4,full_session,0.5126,319,27,6-58s
S5-F1,S5,F1,S5,full_session,0.5755,340,27,6-58s
S5-F2,S5,F2,S5,full_session,0.6445,337,27,6-58s
S5-F3,S5,F3,S5,full_session,0.5632,340,27,6-58s
