singer,panelist,scope,real_coherence,surrogate_mean,surrogate_sd,z_score,prop_surr_exceed,n_surrogates
S1,F1,full_session,0.6016,0.5695,0.0371,0.86,0.25,4
S1,F2,full_session,0.5191,0.5646,0.0448,-1.02,0.75,4
S1,F3,full_session,0.5213,0.5512,0.0603,-0.5,0.75,4
S2,F1,full_session,0.4993,0.5768,0.053,-1.46,1.0,4
S2,F2,full_session,0.5738,0.5554,0.0304,0.6,0.25,4
S2,F3,full_session,0.5661,0.5767,0.0374,-0.28,0.5,4
S3,F1,full_session,0.6147,0.5414,0.0332,2.21,0.0,4
S3,F2,full_session,0.6565,0.5683,0.03,2.94,0.0,4
S3,F3,full_session,0.5081,0.5552,0.0121,-3.88,1.0,4
S4,F1,full_session,0.5585,0.5481,0.044,0.24,0.5,4
S4,F2,full_session,0.5594,0.5438,0.0275,0.57,0.25,4
S4,F3,full_session,0.5126,0.5279,0.0614,-0.25,0.5,4
S5,F1,full_session,0.5755,0.5366,0.0441,0.88,0.25,4
S5,F2,full_session,0.6445,0.5705,0.0485,1.52,0.0,4
S5,F3,full_session,0.5632,0.5553,0.0646,0.12,0.5,4
