singer,panelist,song_only_smooth_r,full_session_smooth_r,song_only_wavelet_coh,full_session_wavelet_coh,delta_smooth_r,delta_wavelet_coh
S1,F1,-0.2235,0.2944,0.42705,0.6016,0.5179,0.17455000000000004
S1,F2,-0.56485,-0.23,0.4588,0.5191,0.33485,0.06030000000000002
S1,F3,-0.20159999999999995,0.4496,0.3906,0.5213,0.6512,0.13069999999999998
S2,F1,-0.0015499999999999958,-0.6063,0.41864999999999997,0.4993,-0.6047499999999999,0.08065000000000005
S2,F2,0.44095,-0.505,0.56235,0.5738,-0.9459500000000001,0.01144999999999996
S2,F3,0.7705500000000001,0.1976,0.5022,0.5661,-0.5729500000000001,0.06390000000000007
S3,F1,0.6594,-0.3866,0.67875,0.6147,-1.046,-0.06404999999999994
S3,F2,-0.2441,-0.6709,0.4485,0.6565,-0.42680000000000007,0.20799999999999996
S3,F3,0.43925000000000003,0.1854,0.59825,0.5081,-0.25385,-0.09014999999999995
S4,F1,-0.049550000000000004,-0.2281,0.4505,0.5585,-0.17855,0.10799999999999998
S4,F2,0.7194499999999999,0.1093,0.46075,0.5594,-0.61015,0.09865000000000002
S4,F3,0.38585,0.0823,0.4708,0.5126,-0.30355000000000004,0.04179999999999995
S5,F1,0.38785000000000003,0.286,0.45099999999999996,0.5755,-0.10185000000000005,0.12450000000000006
S5,F2,0.3287,0.5605,0.5624,0.6445,0.2318,0.08209999999999995
S5,F3,0.4507,0.4868,0.4615,0.5632,0.03610000000000002,0.10170000000000001
