singer,phase,kmpai,lin_intercept,lin_slope,lin_r2,quad_a,quad_b,quad_c,quad_r2,r2_improvement,shape,n_samples
S1,song_1,126,130.4,27.2,0.852,-11.0,38.2,128.5,0.861,0.009,ramp-up,207
S1,song_2,126,150.6,7.5,0.733,-1.6,9.1,150.4,0.736,0.002,ramp-up,59
S2,song_1,111,156.4,6.2,0.044,-105.0,111.2,139.1,0.913,0.869,inverted-U,85
S2,song_2,111,140.9,13.0,0.353,14.7,-1.7,143.3,0.384,0.031,ramp-up,57
S3,song_1,144,134.3,30.4,0.739,-31.8,62.2,129.1,0.794,0.055,inverted-U,148
S3,song_2,144,146.0,11.4,0.418,-28.6,40.0,141.4,0.599,0.181,inverted-U,56
S4,song_1,159,103.8,3.8,0.013,-83.3,87.1,90.0,0.428,0.415,inverted-U,165
S4,song_2,159,76.7,25.5,0.889,-0.1,25.6,76.7,0.889,0.0,ramp-up,55
S5,song_1,174,146.1,42.4,0.797,-57.0,99.4,136.7,0.894,0.097,inverted-U,166
S5,song_2,174,162.1,15.6,0.799,21.4,-5.8,165.6,0.902,0.103,U-shape,59
