singer,gender,song,t_from_onset,t_normalized,hr_bpm
S2,F,If You Knew My Story,0.0,0.0,144
S2,F,If You Knew My Story,1.0,0.0179,143
S2,F,If You Knew My Story,2.0,0.0357,141
S2,F,If You Knew My Story,3.0,0.0536,142
S2,F,If You Knew My Story,4.0,0.0714,142
S2,F,If You Knew My Story,5.0,0.0893,142
S2,F,If You Knew My Story,6.0,0.1071,143
S2,F,If You Knew My Story,7.0,0.125,143
S2,F,If You Knew My Story,8.0,0.1429,143
S2,F,If You Knew My Story,9.0,0.1607,145
S2,F,If You Knew My Story,10.0,0.1786,143
S2,F,If You Knew My Story,11.0,0.1964,143
S2,F,If You Knew My Story,12.0,0.2143,144
S2,F,If You Knew My Story,13.0,0.2321,144
S2,F,If You Knew My Story,14.0,0.25,146
S2,F,If You Knew My Story,15.0,0.2679,148
S2,F,If You Knew My Story,16.0,0.2857,152
S2,F,If You Knew My Story,17.0,0.3036,153
S2,F,If You Knew My Story,18.0,0.3214,153
S2,F,If You Knew My Story,19.0,0.3393,152
S2,F,If You Knew My Story,20.0,0.3571,151
S2,F,If You Knew My Story,21.0,0.375,146
S2,F,If You Knew My Story,22.0,0.3929,141
S2,F,If You Knew My Story,23.0,0.4107,138
S2,F,If You Knew My Story,24.0,0.4286,138
S2,F,If You Knew My Story,25.0,0.4464,137
S2,F,If You Knew My Story,26.0,0.4643,135
S2,F,If You Knew My Story,27.0,0.4821,134
S2,F,If You Knew My Story,28.0,0.5,134
S2,F,If You Knew My Story,29.0,0.5179,139
S2,F,If You Knew My Story,30.0,0.5357,139
S2,F,If You Knew My Story,31.0,0.5536,143
S2,F,If You Knew My Story,32.0,0.5714,146
S2,F,If You Knew My Story,33.0,0.5893,149
S2,F,If You Knew My Story,34.0,0.6071,152
S2,F,If You Knew My Story,35.0,0.625,154
S2,F,If You Knew My Story,36.0,0.6429,156
S2,F,If You Knew My Story,37.0,0.6607,156
S2,F,If You Knew My Story,38.0,0.6786,156
S2,F,If You Knew My Story,39.0,0.6964,156
S2,F,If You Knew My Story,40.0,0.7143,155
S2,F,If You Knew My Story,41.0,0.7321,153
S2,F,If You Knew My Story,42.0,0.75,152
S2,F,If You Knew My Story,43.0,0.7679,150
S2,F,If You Knew My Story,44.0,0.7857,149
S2,F,If You Knew My Story,45.0,0.8036,149
S2,F,If You Knew My Story,46.0,0.8214,150
S2,F,If You Knew My Story,47.0,0.8393,152
S2,F,If You Knew My Story,48.0,0.8571,152
S2,F,If You Knew My Story,49.0,0.875,154
S2,F,If You Knew My Story,50.0,0.8929,157
S2,F,If You Knew My Story,51.0,0.9107,157
S2,F,If You Knew My Story,52.0,0.9286,155
S2,F,If You Knew My Story,53.0,0.9464,153
S2,F,If You Knew My Story,54.0,0.9643,153
S2,F,If You Knew My Story,55.0,0.9821,153
S2,F,If You Knew My Story,56.0,1.0,153
S3,F,If You Knew My Story,0.0,0.0,149
S3,F,If You Knew My Story,1.0,0.0182,148
S3,F,If You Knew My Story,2.0,0.0364,148
S3,F,If You Knew My Story,3.0,0.0545,147
S3,F,If You Knew My Story,4.0,0.0727,144
S3,F,If You Knew My Story,5.0,0.0909,142
