pair,singer,panelist,session,phase,r_smooth,p_value,n_samples,smooth_window
S1-F1,S1,F1,S1,song_1,0.3908,0.0,207,15
S1-F1,S1,F1,S1,song_2,-0.8378,0.0,59,15
S1-F2,S1,F2,S1,song_1,-0.2173,0.0017,207,15
S1-F2,S1,F2,S1,song_2,-0.9124,0.0,59,15
S1-F3,S1,F3,S1,song_1,0.5368,0.0,207,15
S1-F3,S1,F3,S1,song_2,-0.94,0.0,59,15
S2-F1,S2,F1,S2,song_1,-0.8599,0.0,85,15
S2-F1,S2,F1,S2,song_2,0.8568,0.0,57,15
S2-F2,S2,F2,S2,song_1,0.2265,0.0371,85,15
S2-F2,S2,F2,S2,song_2,0.6554,0.0,57,15
S2-F3,S2,F3,S2,song_1,0.6441,0.0,85,15
S2-F3,S2,F3,S2,song_2,0.897,0.0,57,15
S3-F1,S3,F1,S3,song_1,0.4617,0.0,148,15
S3-F1,S3,F1,S3,song_2,0.8571,0.0,56,15
S3-F2,S3,F2,S3,song_1,-0.4631,0.0,145,15
S3-F2,S3,F2,S3,song_2,-0.0251,0.8544,56,15
S3-F3,S3,F3,S3,song_1,0.5412,0.0,148,15
S3-F3,S3,F3,S3,song_2,0.3373,0.011,56,15
S4-F1,S4,F1,S4,song_1,-0.1675,0.0315,165,15
S4-F1,S4,F1,S4,song_2,0.0684,0.6196,55,15
S4-F2,S4,F2,S4,song_1,0.5951,0.0,165,15
S4-F2,S4,F2,S4,song_2,0.8438,0.0,55,15
S4-F3,S4,F3,S4,song_1,0.2973,0.0001,165,15
S4-F3,S4,F3,S4,song_2,0.4744,0.0003,55,15
S5-F1,S5,F1,S5,song_1,0.5059,0.0,166,15
S5-F1,S5,F1,S5,song_2,0.2698,0.0388,59,15
S5-F2,S5,F2,S5,song_1,0.1213,0.1206,165,15
S5-F2,S5,F2,S5,song_2,0.5361,0.0,59,15
S5-F3,S5,F3,S5,song_1,0.4053,0.0,166,15
S5-F3,S5,F3,S5,song_2,0.4961,0.0001,59,15
