singer,panelist,phase,real_r,surrogate_mean,surrogate_sd,z_score,prop_surr_exceed,n_surrogates
S1,F1,song_1,0.3908,0.1198,0.584,0.46,0.75,4
S1,F1,song_2,-0.8378,0.571,0.4215,-3.34,0.5,4
S1,F2,song_1,-0.2173,-0.5494,0.2926,1.13,0.75,4
S1,F2,song_2,-0.9124,0.4841,0.6896,-2.03,0.0,4
S1,F3,song_1,0.5368,0.102,0.4498,0.97,0.0,4
S1,F3,song_2,-0.94,0.7125,0.1702,-9.71,0.0,4
S2,F1,song_1,-0.8599,-0.1467,0.354,-2.01,0.0,4
S2,F1,song_2,0.8568,0.0178,0.6574,1.28,0.0,4
S2,F2,song_1,0.2265,0.0585,0.9563,0.18,1.0,4
S2,F2,song_2,0.6554,-0.0702,0.806,0.9,0.75,4
S2,F3,song_1,0.6441,0.1516,0.5375,0.92,0.25,4
S2,F3,song_2,0.897,0.0852,0.6733,1.21,0.0,4
S3,F1,song_1,0.4617,-0.0207,0.3592,1.34,0.0,4
S3,F1,song_2,0.8571,0.174,0.7022,0.97,0.25,4
S3,F2,song_1,-0.4631,-0.4869,0.3225,0.07,0.75,4
S3,F2,song_2,-0.0251,0.3636,0.8463,-0.46,1.0,4
S3,F3,song_1,0.5412,0.146,0.4281,0.92,0.25,4
S3,F3,song_2,0.3373,0.2594,0.6558,0.12,1.0,4
S4,F1,song_1,-0.1675,-0.2787,0.4596,0.24,0.75,4
S4,F1,song_2,0.0684,0.3965,0.8582,-0.38,1.0,4
S4,F2,song_1,0.5951,-0.1812,0.5591,1.39,0.25,4
S4,F2,song_2,0.8438,0.0304,0.9578,0.85,0.5,4
S4,F3,song_1,0.2973,0.1922,0.3693,0.28,0.5,4
S4,F3,song_2,0.4744,0.3685,0.9007,0.12,1.0,4
S5,F1,song_1,0.5059,-0.0213,0.6328,0.83,0.5,4
S5,F1,song_2,0.2698,0.1919,0.7791,0.1,0.75,4
S5,F2,song_1,0.1213,-0.5625,0.2476,2.76,1.0,4
S5,F2,song_2,0.5361,0.0405,0.8333,0.59,1.0,4
S5,F3,song_1,0.4053,0.2533,0.3765,0.4,0.25,4
S5,F3,song_2,0.4961,0.2218,0.744,0.37,0.75,4
