singer,panelist,phase,real_coherence,surrogate_mean,surrogate_sd,z_score,prop_surr_exceed,n_surrogates
S1,F1,song_1,0.5566,0.4743,0.1187,0.69,0.25,4
S1,F1,song_2,0.2975,0.403,0.0931,-1.13,0.75,4
S1,F2,song_1,0.5843,0.5235,0.1142,0.53,0.25,4
S1,F2,song_2,0.3333,0.3851,0.0501,-1.04,0.75,4
S1,F3,song_1,0.4689,0.5207,0.0509,-1.02,0.75,4
S1,F3,song_2,0.3123,0.382,0.083,-0.84,1.0,4
S2,F1,song_1,0.4431,0.5207,0.0578,-1.34,1.0,4
S2,F1,song_2,0.3942,0.5292,0.0858,-1.57,1.0,4
S2,F2,song_1,0.4723,0.5771,0.0828,-1.27,0.75,4
S2,F2,song_2,0.6524,0.4042,0.0722,3.44,0.0,4
S2,F3,song_1,0.6053,0.5507,0.0666,0.82,0.25,4
S2,F3,song_2,0.3991,0.504,0.1373,-0.76,0.75,4
S3,F1,song_1,0.7061,0.5422,0.0415,3.95,0.0,4
S3,F1,song_2,0.6514,0.4847,0.1118,1.49,0.0,4
S3,F2,song_1,0.4736,0.5086,0.0499,-0.7,0.75,4
S3,F2,song_2,0.4234,0.4947,0.1412,-0.5,0.5,4
S3,F3,song_1,0.5543,0.553,0.0436,0.03,0.5,4
S3,F3,song_2,0.6422,0.5282,0.1286,0.89,0.0,4
S4,F1,song_1,0.4353,0.5123,0.0971,-0.79,1.0,4
S4,F1,song_2,0.4657,0.5049,0.0922,-0.43,0.75,4
S4,F2,song_1,0.5567,0.5792,0.0494,-0.46,0.5,4
S4,F2,song_2,0.3648,0.4947,0.0536,-2.43,1.0,4
S4,F3,song_1,0.4874,0.5329,0.0884,-0.51,0.75,4
S4,F3,song_2,0.4542,0.4956,0.1162,-0.36,0.5,4
S5,F1,song_1,0.5136,0.4609,0.0576,0.92,0.25,4
S5,F1,song_2,0.3884,0.4886,0.1095,-0.92,0.75,4
S5,F2,song_1,0.5702,0.4811,0.0905,0.98,0.0,4
S5,F2,song_2,0.5546,0.4207,0.0575,2.33,0.0,4
S5,F3,song_1,0.5107,0.4836,0.055,0.49,0.25,4
S5,F3,song_2,0.4123,0.4818,0.1,-0.7,0.75,4
