pair,singer,panelist,session,phase,mean_r_lag0,peak_lag,mean_peak_r,n_windows,n_excluded,n_samples
S1-F1,S1,F1,S1,song_1,-0.125,-8.0,-0.2857,40,12,207
S1-F1,S1,F1,S1,song_2,0.5762,6.0,-0.8341,10,6,59
S1-F2,S1,F2,S1,song_1,0.0373,7.0,-0.6338,40,37,207
S1-F2,S1,F2,S1,song_2,,,,10,10,59
S1-F3,S1,F3,S1,song_1,0.2387,-5.0,-0.2465,40,14,207
S1-F3,S1,F3,S1,song_2,0.2231,-5.0,-0.6082,10,5,59
S2-F1,S2,F1,S2,song_1,0.396,-6.0,-0.4639,16,9,85
S2-F1,S2,F1,S2,song_2,-0.0147,-5.0,0.5996,10,4,57
S2-F2,S2,F2,S2,song_1,-0.3617,-8.0,1.0,16,15,85
S2-F2,S2,F2,S2,song_2,,,,10,10,57
S2-F3,S2,F3,S2,song_1,0.0585,-7.0,0.6021,16,7,85
S2-F3,S2,F3,S2,song_2,-0.2165,-7.0,0.7677,10,3,57
S3-F1,S3,F1,S3,song_1,0.0648,7.0,-0.2185,28,12,148
S3-F1,S3,F1,S3,song_2,0.0673,8.0,0.25,10,2,56
S3-F2,S3,F2,S3,song_1,,,,28,28,145
S3-F2,S3,F2,S3,song_2,0.033,-8.0,1.0,10,8,56
S3-F3,S3,F3,S3,song_1,-0.0705,7.0,-0.448,28,15,148
S3-F3,S3,F3,S3,song_2,0.0569,-8.0,-1.0,10,4,56
S4-F1,S4,F1,S4,song_1,0.1795,5.0,-0.4219,32,11,165
S4-F1,S4,F1,S4,song_2,0.5491,5.0,-0.8741,10,7,55
S4-F2,S4,F2,S4,song_1,,,,32,32,165
S4-F2,S4,F2,S4,song_2,0.4455,7.0,0.4567,10,6,55
S4-F3,S4,F3,S4,song_1,0.1344,-7.0,0.3503,32,11,165
S4-F3,S4,F3,S4,song_2,-0.0668,2.0,0.4431,10,4,55
S5-F1,S5,F1,S5,song_1,0.0921,-8.0,-0.5,32,20,166
S5-F1,S5,F1,S5,song_2,-0.0389,-6.0,0.5276,10,4,59
S5-F2,S5,F2,S5,song_1,,,,32,32,165
S5-F2,S5,F2,S5,song_2,,,,10,10,59
S5-F3,S5,F3,S5,song_1,-0.2431,0.0,-0.2431,32,17,166
S5-F3,S5,F3,S5,song_2,-0.0644,7.0,0.3379,10,4,59
