singer,panelist,phase,real_r_lag0,surrogate_mean,surrogate_sd,z_score,prop_surr_exceed,n_surrogates
S1,F1,song_1,-0.125,0.0543,0.1101,-1.63,0.25,4
S1,F1,song_2,0.5762,0.2111,0.2757,1.32,0.0,4
S1,F2,song_1,0.0373,0.4682,0.5252,-0.82,1.0,2
S1,F3,song_1,0.2387,0.0406,0.1367,1.45,0.0,4
S1,F3,song_2,0.2231,0.1055,0.3085,0.38,0.75,4
S2,F1,song_1,0.396,-0.0109,0.3121,1.3,0.25,4
S2,F1,song_2,-0.0147,-0.0314,0.3558,0.05,1.0,4
S2,F2,song_1,-0.3617,-0.083,0.193,-1.44,0.0,2
S2,F3,song_1,0.0585,-0.0423,0.0595,1.69,0.5,4
S2,F3,song_2,-0.2165,-0.0488,0.2605,-0.64,0.25,4
S3,F1,song_1,0.0648,-0.0905,0.0479,3.24,0.75,4
S3,F1,song_2,0.0673,0.0337,0.209,0.16,1.0,4
S3,F2,song_2,0.033,0.0299,0.0,,0.0,1
S3,F3,song_1,-0.0705,-0.0768,0.1211,0.05,0.5,4
S3,F3,song_2,0.0569,-0.114,0.2966,0.58,0.75,4
S4,F1,song_1,0.1795,-0.0208,0.249,0.8,0.5,4
S4,F1,song_2,0.5491,0.078,0.2709,1.74,0.0,4
S4,F2,song_2,0.4455,-0.1797,0.0,,0.0,1
S4,F3,song_1,0.1344,-0.0084,0.2236,0.64,0.5,4
S4,F3,song_2,-0.0668,0.0613,0.1758,-0.73,0.75,4
S5,F1,song_1,0.0921,0.0385,0.405,0.13,1.0,4
S5,F1,song_2,-0.0389,0.2066,0.484,-0.51,1.0,4
S5,F3,song_1,-0.2431,-0.1024,0.1209,-1.16,0.25,4
S5,F3,song_2,-0.0644,-0.0323,0.4413,-0.07,1.0,4
