pair,animal,vowel,measure,d,ci_low,ci_high,n_animal,n_vowel,mean_animal,mean_vowel
Owl / /u/,owl,u,f0_mean,0.7766017274817578,0.21448939482529136,1.4177762723049343,24,25,562.0845833333333,539.3380000000001
Owl / /u/,owl,u,f0_sd,-0.06706633148643645,-0.6348923569949304,0.5012556858368531,24,25,56.27541666666667,57.41400000000001
Owl / /u/,owl,u,jitter_local,-1.0759648319554835,-1.9871905566029153,-0.4852469583866491,24,25,0.00202675,0.0031476
Owl / /u/,owl,u,shimmer_local,-0.7993601251472081,-1.501398366768152,-0.250509753677712,24,25,0.009399875,0.01174844
Owl / /u/,owl,u,shimmer_dB,-2.1264240083706656,-3.123087001974676,-1.5569515530720157,24,25,0.11115416666666667,0.185888
Owl / /u/,owl,u,hnr_mean,0.881448590196517,0.3151937800199133,1.629843947448332,24,25,29.55458333333333,26.502
Owl / /u/,owl,u,intensity_mean_calibrated,2.565524928097172,1.701908141177173,4.270999053522792,24,25,110.94291666666668,89.37680000000002
Owl / /u/,owl,u,cog,-0.3242013771773585,-0.9177648922651072,0.23031681139816856,24,25,674.0775,697.6712
Owl / /u/,owl,u,spectral_sd,-0.9598797091557806,-1.6308159276089265,-0.40644192322934064,24,25,200.21208333333334,255.41
Owl / /u/,owl,u,skewness,0.21731737629137002,-0.5146248728587136,0.618883950138739,24,25,8.068725,6.680192000000001
Owl / /u/,owl,u,kurtosis,0.35255389364656486,-0.19440058568859425,0.6702160161778405,24,25,577.2118583333332,253.500288
Owl / /u/,owl,u,cpps,0.2673728470735061,-0.23900087776391354,1.0990438367888877,24,25,18.739225,18.032816
Owl / /u/,owl,u,h1_h2,0.4886749412905258,-0.07190179360336922,1.1557301839829706,24,25,11.371841666666667,8.88302
Owl / /u/,owl,u,f1,-0.7713200614141914,-1.4282245974300756,-0.23835266477160438,24,25,685.5104166666666,762.48
Owl / /u/,owl,u,f2,-0.8466138022745209,-1.4569781668997173,-0.32987093539208856,24,25,1358.6904166666666,1514.7528
Owl / /u/,owl,u,alpha_ratio,0.12778479817724994,-0.4275092952970935,0.7477494359318259,24,25,1.9050958333333332,1.8195800000000002
Owl / /u/,owl,u,lh_ratio,0.7877481629890042,0.06466989890940401,1.7449211186595606,15,13,10.160513333333334,7.719946153846156
Owl / /u/,owl,u,ltas_slope,-0.5469048733443486,-1.2005458529261495,0.011734673779743564,24,25,-14.774833333333333,-12.542516
Owl / /u/,owl,u,ltas_tilt,-0.3326971121463413,-0.9925631735902017,0.21987073121609255,24,25,-3.3800166666666662,-2.454344
Cat / /æ/,cat,ae,f0_mean,1.261085963192378,0.7043813487464038,2.0786420774756476,26,27,432.0196153846154,379.8355555555555
Cat / /æ/,cat,ae,f0_sd,-0.21581561317071807,-0.7689719670721237,0.37550317702941316,26,27,63.67230769230768,67.22555555555556
Cat / /æ/,cat,ae,jitter_local,0.5591799639755691,0.02661992415136973,1.131594646413311,26,27,0.007222307692307691,0.005712481481481481
Cat / /æ/,cat,ae,shimmer_local,0.4995669578814718,-0.04821988255213415,1.0638701008368492,26,27,0.032723538461538464,0.025123740740740738
Cat / /æ/,cat,ae,shimmer_dB,0.20801858638581014,-0.33588330287573953,0.8346487111069223,26,27,0.3183730769230769,0.295337037037037
Cat / /æ/,cat,ae,hnr_mean,-0.24137554501528344,-0.7779898845828671,0.3480329603435259,26,27,14.839615384615383,15.395925925925926
Cat / /æ/,cat,ae,intensity_mean_calibrated,-1.947036610883036,-2.6941178739893354,-1.466667767255994,26,27,83.06807692307692,94.05925925925924
Cat / /æ/,cat,ae,cog,1.926205817738205,1.430905482873324,2.6949637975775267,26,27,1633.1153846153845,1169.4777777777776
Cat / /æ/,cat,ae,spectral_sd,3.210876660304952,2.691252857255464,4.120297985133676,26,27,925.4784615384616,488.6225925925926
Cat / /æ/,cat,ae,skewness,-2.23649270114415,-2.987553758508303,-1.7731741472217375,26,27,1.3841884615384616,5.718599999999999
Cat / /æ/,cat,ae,kurtosis,-1.8184544288510007,-2.4062869105839773,-1.4281559390551577,26,27,12.247453846153848,149.19936666666666
Cat / /æ/,cat,ae,cpps,-1.6258663006909468,-2.2539934514243134,-1.1617308512413014,26,27,18.805273076923076,22.125496296296294
Cat / /æ/,cat,ae,h1_h2,0.8652966278729558,0.4320793587778857,1.5249206039950143,26,27,0.3706653846153847,-4.843455555555556
Cat / /æ/,cat,ae,f1,-0.38342251536902794,-0.9706522526138033,0.19649672799905385,26,27,988.8261538461538,1023.9318518518521
Cat / /æ/,cat,ae,f2,2.784292949935748,2.131425312956379,3.83794273730439,26,27,2022.5926923076922,1716.9892592592591
Cat / /æ/,cat,ae,alpha_ratio,0.3594740640751542,-0.21392492108350866,0.8516716494249426,26,27,0.7111653846153845,0.49769629629629625
Cat / /æ/,cat,ae,lh_ratio,-2.167214984168857,-3.025653830991267,-1.5718464553174583,26,27,1.0831576923076924,3.6201518518518525
Cat / /æ/,cat,ae,ltas_slope,-0.09168607432339725,-0.6627723250491571,0.45206795029367974,26,27,-3.374942307692308,-3.1322814814814817
Cat / /æ/,cat,ae,ltas_tilt,0.5724907018202684,0.016559972055851347,1.2314363179153407,26,27,1.9691538461538463,1.0120296296296298
Cow / /ɑ/,cow,a,f0_mean,-2.365247977783867,-3.38484676591975,-1.7228506559008085,24,23,323.05375,509.53391304347826
Cow / /ɑ/,cow,a,f0_sd,-2.545534102514556,-3.7078442431699568,-1.9105369105796879,24,23,111.83416666666666,202.6878260869565
Cow / /ɑ/,cow,a,jitter_local,-1.4729932818126705,-2.116457483123114,-0.9772491790257747,24,23,0.010357,0.020195391304347828
Cow / /ɑ/,cow,a,shimmer_local,-1.325957770204722,-1.895694031089959,-0.9446370647296848,24,23,0.020517999999999998,0.04251252173913043
