vowel,measure,rho,p,n
all,f0_mean,-0.445783383612237,9.252765922394985e-16,294
all,f0_sd,0.39487612555948454,2.0712150436230042e-12,294
all,jitter_local,0.5641906479901686,4.148893341944972e-26,294
all,shimmer_local,0.6249665237141102,2.9393755580064106e-33,294
all,shimmer_dB,0.5937746936651334,2.1227210849108737e-29,294
all,hnr_mean,-0.5814167640031807,5.5265700247820505e-28,294
all,intensity_mean_calibrated,-0.2644959645110854,4.265937940250463e-06,294
all,cog,-0.05891153651719739,0.3140819187065387,294
all,spectral_sd,0.2415330876571377,2.8400433854753602e-05,294
all,skewness,0.25748025901261723,7.760719420337871e-06,294
all,kurtosis,0.16729629892571818,0.00401966702548886,294
all,cpps,0.2045509018950842,0.0004159210691089783,294
all,h1_h2,-0.3216087703544506,1.6854133316807203e-08,294
all,f1,0.17952302591532845,0.002000156590849967,294
all,f2,0.1598929220305633,0.006003096301951955,294
all,alpha_ratio,0.03946670224888752,0.5061921570682322,286
all,lh_ratio,-0.14585368385966113,0.033798346697856176,212
all,ltas_slope,-0.008020345069053128,0.891080884141155,294
all,ltas_tilt,-0.12713306971636182,0.029298807252415224,294
u,f0_mean,0.03418701560891569,0.736920131147348,99
u,f0_sd,-0.3702997689553432,0.0001615048121419316,99
u,jitter_local,-0.11149025930647564,0.27191862874883166,99
u,shimmer_local,-0.14327919368921577,0.15712256075851047,99
u,shimmer_dB,-0.12237518538158566,0.22754958492232805,99
u,hnr_mean,0.22521800153958166,0.025006040409911875,99
u,intensity_mean_calibrated,-0.21455813947256233,0.03295618441214075,99
u,cog,0.1434217109873367,0.15670593535883526,99
u,spectral_sd,0.23035205666888137,0.02180169953996968,99
u,skewness,-0.20944339480915447,0.0374700881908067,99
u,kurtosis,-0.3093986645480522,0.0018318601125596873,99
u,cpps,0.3367625730690832,0.0006536531393064,99
u,h1_h2,-0.16617189947751226,0.10020896899179343,99
u,f1,-0.17309247952379533,0.08665116959871555,99
u,f2,-0.09188450878351415,0.36570715847786384,99
u,alpha_ratio,-0.1542087183834211,0.1275081336241618,99
u,lh_ratio,-0.10137175120222709,0.41435488772681073,67
u,ltas_slope,0.15009535953901057,0.13810697238716121,99
u,ltas_tilt,0.4198030354272535,1.5216460804347987e-05,99
ae,f0_mean,-0.3396339574345717,0.0005462306630102503,100
ae,f0_sd,-0.05185475395313995,0.6083899609440941,100
ae,jitter_local,0.20443343264099736,0.04132714506818437,100
ae,shimmer_local,0.3319296190556629,0.0007415177858086703,100
ae,shimmer_dB,0.3110963732090357,0.0016303958905613796,100
ae,hnr_mean,-0.00527886209206636,0.9584288596139491,100
ae,intensity_mean_calibrated,0.3519064343368922,0.0003301960303681587,100
ae,cog,-0.23892814053684122,0.016664604744651236,100
ae,spectral_sd,-0.3294322646378642,0.000817374804435789,100
ae,skewness,0.39388273877520286,5.02464153679629e-05,100
ae,kurtosis,0.3572028457637852,0.00026403340617706914,100
ae,cpps,0.21118877634114272,0.03492841007739054,100
ae,h1_h2,0.07963438899755441,0.43094020233385844,100
ae,f1,-0.01596433811577786,0.8747355187987581,100
ae,f2,-0.38186422063954684,8.844736646304333e-05,100
ae,alpha_ratio,-0.1966354434714211,0.04989992148936697,100
ae,lh_ratio,0.28649649880986094,0.0038551065849026836,100
ae,ltas_slope,0.17170560299574608,0.08760304782109596,100
ae,ltas_tilt,-0.2011931152839036,0.0447272118804989,100
a,f0_mean,0.10664230064470202,0.3036690180649925,95
a,f0_sd,0.14365894251199685,0.16486509950698802,95
a,jitter_local,0.30211861555248176,0.002924459626370775,95
a,shimmer_local,0.49533555968389076,3.3382140753060217e-07,95
a,shimmer_dB,0.40690156516482623,4.27642642242072e-05,95
a,hnr_mean,-0.4978851375079449,2.84165062942701e-07,95
a,intensity_mean_calibrated,-0.2530678849080052,0.013347279391342726,95
a,cog,0.026586497430802696,0.7981455403067348,95
a,spectral_sd,0.22631936994096255,0.027427036528942628,95
a,skewness,0.1277618615739911,0.2172599218070505,95
a,kurtosis,0.09122672495411958,0.3792752922648892,95
a,cpps,-0.27823595528028683,0.0063307502155036,95
a,h1_h2,-0.27948046115055003,0.006090652369826042,95
a,f1,0.23594497901044767,0.021342815467178457,95
a,f2,0.10497555171131373,0.31133218878424074,95
a,alpha_ratio,0.06527551518988141,0.5480502005863483,87
a,lh_ratio,0.16479535274192877,0.27934601401974435,45
a,ltas_slope,0.14345893263999024,0.1654601655115408,95
a,ltas_tilt,-0.10184947148958101,0.326040232481724,95
