participant,session,condition,pitch_target,segment_type,preceding_exercise,temporal_position,cumulative_blocks,f0_mean_baseline,f0_mean_post,f0_mean_change,f0_sd_baseline,f0_sd_post,f0_sd_change,jitter_local_baseline,jitter_local_post,jitter_local_change,shimmer_local_baseline,shimmer_local_post,shimmer_local_change,shimmer_dB_baseline,shimmer_dB_post,shimmer_dB_change,hnr_mean_baseline,hnr_mean_post,hnr_mean_change,intensity_mean_calibrated_baseline,intensity_mean_calibrated_post,intensity_mean_calibrated_change,cog_baseline,cog_post,cog_change,spectral_sd_baseline,spectral_sd_post,spectral_sd_change,skewness_baseline,skewness_post,skewness_change,kurtosis_baseline,kurtosis_post,kurtosis_change
P1,A,animal,some,somewhere_post_ex1,owl/u,1,1,260.67,260.93,0.2599999999999909,3.73,3.35,-0.3799999999999999,0.002696,0.003409,0.0007130000000000001,0.02116,0.019701,-0.001459000000000002,0.1825,0.1819,-0.0005999999999999894,21.22,20.39,-0.8299999999999983,96.83,96.58,-0.25,585.29,614.15,28.860000000000014,403.56,421.69,18.129999999999995,8.242,6.6692,-1.5728000000000009,232.2306,162.1845,-70.0461
P1,A,animal,some,somewhere_post_ex2,cat/ae,2,2,260.67,261.07,0.39999999999997726,3.73,3.35,-0.3799999999999999,0.002696,0.002578,-0.00011800000000000005,0.02116,0.01747,-0.0036900000000000023,0.1825,0.1476,-0.03489999999999999,21.22,23.12,1.9000000000000021,96.83,95.81,-1.019999999999996,585.29,573.83,-11.459999999999923,403.56,438.96,35.39999999999998,8.242,7.5746,-0.6674000000000007,232.2306,172.4097,-59.82090000000002
P1,A,animal,some,somewhere_post_ex3,cow/a,3,3,260.67,259.46,-1.2100000000000364,3.73,4.3,0.5699999999999998,0.002696,0.00275,5.3999999999999795e-05,0.02116,0.017825,-0.003335000000000001,0.1825,0.1565,-0.025999999999999995,21.22,20.41,-0.8099999999999987,96.83,96.57,-0.2600000000000051,585.29,555.7,-29.589999999999918,403.56,385.97,-17.589999999999975,8.242,7.0788,-1.1632000000000007,232.2306,191.513,-40.717600000000004
P1,B,human,some,somewhere_post_ex1,owl/u,1,1,260.55,262.96,2.409999999999968,2.59,2.99,0.40000000000000036,0.004424,0.003439,-0.0009849999999999998,0.027204,0.018651,-0.008552999999999998,0.2849,0.1574,-0.12749999999999997,20.39,22.68,2.289999999999999,98.69,97.07,-1.6200000000000045,623.29,544.05,-79.24000000000001,424.65,417.68,-6.96999999999997,6.908,7.8948,0.9867999999999997,143.2122,190.0512,46.839
P1,B,human,some,somewhere_post_ex2,cat/ae,2,2,260.55,257.87,-2.680000000000007,2.59,3.43,0.8400000000000003,0.004424,0.002992,-0.0014320000000000001,0.027204,0.024797,-0.0024069999999999994,0.2849,0.2416,-0.04329999999999998,20.39,21.34,0.9499999999999993,98.69,98.94,0.25,623.29,566.83,-56.45999999999992,424.65,394.19,-30.45999999999998,6.908,8.3838,1.4758000000000004,143.2122,232.0848,88.8726
P1,B,human,some,somewhere_post_ex3,cow/a,3,3,260.55,260.99,0.4399999999999977,2.59,4.88,2.29,0.004424,0.003003,-0.001421,0.027204,0.019576,-0.007627999999999999,0.2849,0.1846,-0.1003,20.39,19.83,-0.5600000000000023,98.69,98.86,0.1700000000000017,623.29,590.92,-32.370000000000005,424.65,420.42,-4.229999999999961,6.908,6.2863,-0.6217000000000006,143.2122,140.0003,-3.2118999999999858
P2,A,animal,some,somewhere_post_ex1,owl/u,1,1,261.14,263.34,2.1999999999999886,3.92,3.01,-0.9100000000000001,0.002907,0.003196,0.0002890000000000002,0.015519,0.017321,0.0018019999999999998,0.1449,0.1753,0.03040000000000001,24.71,23.96,-0.75,91.84,99.14,7.299999999999997,706.36,756.19,49.83000000000004,380.65,338.42,-42.22999999999996,6.4564,4.4535,-2.0029000000000003,212.8433,139.5963,-73.24699999999999
P2,A,animal,some,somewhere_post_ex3,cow/a,2,2,261.14,259.96,-1.1800000000000068,3.92,2.35,-1.5699999999999998,0.002907,0.002357,-0.0005499999999999997,0.015519,0.016269,0.0007499999999999989,0.1449,0.1613,0.016399999999999998,24.71,25.67,0.9600000000000009,91.84,95.02,3.1799999999999926,706.36,690.25,-16.110000000000014,380.65,344.81,-35.839999999999975,6.4564,7.1625,0.7060999999999993,212.8433,279.2001,66.35680000000002
P2,A,animal,some,somewhere_post_ex2,cat/ae,3,3,261.14,261.32,0.18000000000000682,3.92,4.17,0.25,0.002907,0.006515,0.003608,0.015519,0.016724,0.0012049999999999995,0.1449,0.1461,0.0012000000000000066,24.71,21.26,-3.4499999999999993,91.84,97.26,5.420000000000002,706.36,740.09,33.73000000000002,380.65,346.13,-34.51999999999998,6.4564,4.8569,-1.5995,212.8433,161.9116,-50.931700000000006
P2,B,human,some,somewhere_post_ex3,cow/a,1,1,260.08,266.54,6.460000000000036,2.38,1.94,-0.43999999999999995,0.002007,0.002274,0.0002669999999999999,0.014466,0.01205,-0.0024159999999999997,0.1495,0.1217,-0.02779999999999999,26.63,26.73,0.10000000000000142,95.1,93.87,-1.2299999999999898,721.21,729.46,8.25,382.44,360.04,-22.399999999999977,7.5819,7.7844,0.20249999999999968,300.4673,344.6934,44.226099999999974
