participant,exercise_num,exercise_label,session,condition,stage,stage_order,n_tokens,f0_mean,jitter_local,shimmer_dB,hnr_mean,spectral_sd,intensity_mean_calibrated,cpps,h1_h2
P1,1,Ex 1 (Owl / /u/),A,animal,mimic,0,4,568.9399999999999,0.0017582499999999998,0.116575,28.9425,294.3575,108.92750000000001,20.488474999999998,4.31315
P1,1,Ex 1 (Owl / /u/),A,animal,exercise,1,5,592.326,0.0015458000000000002,0.09858,32.79,301.188,104.39000000000001,21.29136,4.40388
P1,1,Ex 1 (Owl / /u/),A,animal,somewhere_some,2,1,260.93,0.003409,0.1819,20.39,421.69,96.58,27.5315,1.5376
P1,1,Ex 1 (Owl / /u/),A,animal,somewhere_where,2,1,526.47,0.00376,0.2024,25.31,335.63,105.53,24.558,-5.0219
P1,1,Ex 1 (Owl / /u/),A,animal,baseline_some,-1,1,260.67,0.002696,0.1825,21.22,403.56,96.83,27.8829,2.013
P1,1,Ex 1 (Owl / /u/),A,animal,baseline_where,-1,1,519.15,0.00287,0.1978,26.53,300.47,104.42,23.8393,-5.1814
P1,1,Ex 1 (Owl / /u/),B,human,mimic,0,5,564.3219999999999,0.002734,0.21425999999999998,27.758,321.59799999999996,83.112,15.759359999999997,4.4363
P1,1,Ex 1 (Owl / /u/),B,human,exercise,1,5,588.2040000000001,0.0019514,0.1109,32.848,281.05800000000005,97.542,19.31,6.989099999999999
P1,1,Ex 1 (Owl / /u/),B,human,somewhere_some,2,1,262.96,0.003439,0.1574,22.68,417.68,97.07,26.8087,5.629
P1,1,Ex 1 (Owl / /u/),B,human,somewhere_where,2,1,521.14,0.003206,0.2533,25.42,372.89,106.81,23.56,-5.3607
P1,1,Ex 1 (Owl / /u/),B,human,baseline_some,-1,1,260.55,0.004424,0.2849,20.39,424.65,98.69,26.2087,4.0895
P1,1,Ex 1 (Owl / /u/),B,human,baseline_where,-1,1,525.09,0.003381,0.2441,24.83,316.94,107.29,22.5955,-5.8757
P1,2,Ex 2 (Cat / /ae/),A,animal,mimic,0,5,445.16399999999993,0.0057438,0.29484,14.951999999999998,734.322,78.298,18.276020000000003,3.37218
P1,2,Ex 2 (Cat / /ae/),A,animal,exercise,1,4,438.715,0.00312675,0.185875,22.9225,444.9075,96.93249999999999,23.950925,-0.8196500000000001
P1,2,Ex 2 (Cat / /ae/),A,animal,somewhere_some,2,1,261.07,0.002578,0.1476,23.12,438.96,95.81,27.6855,-0.8121
P1,2,Ex 2 (Cat / /ae/),A,animal,somewhere_where,2,1,520.32,0.003338,0.1933,25.76,299.88,105.13,23.888,-6.4779
P1,2,Ex 2 (Cat / /ae/),A,animal,baseline_some,-1,1,260.67,0.002696,0.1825,21.22,403.56,96.83,27.8829,2.013
